frame_number,sampled_index,timestamp_seconds,black_pixel_ratio,skin_pixel_ratio,teacher_presence,global_ssim,global_mse,histogram_correlation,edge_count,edge_change_rate,zone_left_ssim,zone_left_edge_density,zone_center_ssim,zone_center_edge_density,zone_right_ssim,zone_right_edge_density,ssim_rolling_mean,ssim_rolling_std,ssim_rolling_max,edge_rolling_mean,edge_rolling_std,edge_rolling_max,edge_decay_velocity
0,0,0.0,0.5740896267361111,0.008529730902777777,0.008529730902777777,1.0,0.0,1.0,0.02328125,0.0,1.0,0.028609154929577465,1.0,0.022567814293166406,1.0,0.018688343717549325,1.0,0.0,1.0,0.02328125,0.0,0.02328125,0.0
6,1,0.2,0.5733669704861111,0.008589409722222222,0.008589409722222222,0.9859881329424619,30.567890625,0.9992850494110393,0.023550347222222223,0.00026909722222222265,0.9618750025927583,0.029447052686489308,0.9973970718196793,0.022613458528951486,0.9982889187869698,0.018613707165109034,0.9929940664712309,0.007005933528769048,1.0,0.02341579861111111,0.00013454861111111133,0.023550347222222223,0.00026909722222222265
12,2,0.4,0.5728179253472222,0.008528645833333333,0.008528645833333333,0.9917484376819843,10.013352864583334,0.9986846765928676,0.023501519097222222,4.8828125000000694e-05,0.9782822163373628,0.029310119979134065,0.9982299727123102,0.022616718831507565,0.9985059798017936,0.018600726895119418,0.9925788568748154,0.005750379792465714,1.0,0.02344437210648148,0.00011705458175560885,0.023550347222222223,-4.8828125000000694e-05
18,3,0.6,0.5709006076388888,0.008794487847222223,0.008794487847222223,0.9876532237931918,46.49666449652778,0.9981986829617217,0.02359157986111111,9.006076388888909e-05,0.9648037621439609,0.029600286906624935,0.998782558986794,0.022580855503390715,0.9989926241304152,0.018616952232606437,0.9913474486044095,0.005417494790350124,1.0,0.02348117404513889,0.00011974756531686193,0.02359157986111111,9.006076388888909e-05
24,4,0.8,0.5705121527777778,0.008701171875,0.008701171875,0.9893374612817151,42.50532009548611,0.9996861595093001,0.023798828125,0.00020724826388889006,0.9685387773114675,0.03022300469483568,0.9995422537590358,0.022597157016171102,0.9995907156104336,0.018600726895119418,0.9909454511398706,0.004911802895959829,1.0,0.023544704861111113,0.00016618135223856636,0.023798828125,0.00020724826388889006
30,5,1.0,0.5715180121527778,0.008495008680555555,0.008495008680555555,0.9914283460537053,32.11601128472222,0.999504442207163,0.023782552083333332,1.627604166666921e-05,0.9752966214487089,0.03018062076160668,0.9992773726919234,0.022571074595722482,0.9994400118577954,0.018620197300103843,0.9892311203506117,0.0021992144327521988,0.9917484376819843,0.02364496527777778,0.0001224608432798631,0.023798828125,-1.627604166666921e-05
36,6,1.2,0.574423828125,0.008514539930555556,0.008514539930555556,0.9779310186774441,44.385907118055556,0.998783169174455,0.02412868923611111,0.00034613715277777984,0.9510062218064513,0.031080464267083985,0.9899691194083703,0.022629760041731874,0.9923719511069287,0.018701323987538942,0.987619697497608,0.005067043182068276,0.9917484376819843,0.023760633680555553,0.00021592761986685246,0.02412868923611111,0.00034613715277777984
42,7,1.4,0.5731032986111111,0.008666449652777778,0.008666449652777778,0.9892701813136808,38.327365451388886,0.9992211971711071,0.024124348958333333,4.340277777778456e-06,0.9698008305602903,0.030963093375065205,0.9989082407487405,0.022730829420970267,0.9988045625465545,0.018704569055036344,0.9871240462239473,0.0047502396452463545,0.9914283460537053,0.02388519965277778,0.0002100898445529633,0.02412868923611111,-4.340277777778456e-06
48,8,1.6,0.5740907118055556,0.008577473958333333,0.008577473958333333,0.9885855724312607,26.105973307291666,0.9980394444984019,0.024136284722222224,1.1935763888890755e-05,0.9712882361583208,0.031093505477308294,0.9967230955881088,0.0226688836724048,0.9974532863239342,0.018672118380062306,0.9873105159515612,0.004785521049888743,0.9914283460537053,0.023994140625,0.00016624028802752455,0.024136284722222224,1.1935763888890755e-05
54,9,1.8,0.5741362847222222,0.00853732638888889,0.00853732638888889,0.988921993948517,39.28288953993056,0.9999102807987533,0.024022352430555557,0.00011393229166666713,0.9673684560299753,0.03071531038080334,0.9993735954424134,0.0226688836724048,0.9996639252860997,0.01870781412253375,0.9872274224849216,0.004753101933198792,0.9914283460537053,0.024038845486111113,0.00013478536797368451,0.024136284722222224,-0.00011393229166666713
